timestamp,symbol,name,price,qty
2026-03-18 23:01:13,삼성전자,,188431.0,4
2026-03-18 23:01:13,한화시스템,,152895.0,5
2026-03-18 23:09:42,삼성전자,,188431.0,4
2026-03-18 23:09:42,한화시스템,,152895.0,5
2026-03-18 23:11:48,삼성전자,,188431.0,4
2026-03-18 23:11:48,한화시스템,,152895.0,5
2026-03-19 04:15:57,삼성전자,,188431.0,4
2026-03-19 04:15:57,한화시스템,,152895.0,5
2026-03-20 21:07:13,005930,삼성전자,63954,13,-301
2026-03-20 21:07:13,000660,SK하이닉스,205998,4,-301
2026-03-20 21:07:13,272210,한화시스템,22368,39,-301
2026-03-20 21:13:03,005930,삼성전자,63954,13,-301
2026-03-20 21:13:03,000660,SK하이닉스,205998,4,-301
2026-03-20 21:13:03,272210,한화시스템,22368,39,-301
2026-03-20 21:44:26,005930,삼성전자,63954,13,0
2026-03-20 21:44:26,000660,SK하이닉스,205998,4,0
2026-03-20 21:44:26,272210,한화시스템,22368,39,0
2026-03-20 21:53:10,005930,삼성전자,63954,13,0
2026-03-20 21:53:10,000660,SK하이닉스,205998,4,0
2026-03-20 21:53:10,272210,한화시스템,22368,39,0
